BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
1245170,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N(C)C,Active,100001,Bsite,Nope,Si
1297053,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,5.8,Bsite,Nope,Si
1297054,C[C@@H](C(N1[C@@H](B(O)O)CCC1)=O)NC(c(cc1)ccc1NNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,2.7,Bsite,Nope,Si
1297056,C[C@@H](C(N1[C@@H](B(O)O)CCC1)=O)NC(c(cc1)ccc1NNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O,Active,2.1,Bsite,Nope,Si
1297085,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O,Active,760,Bsite,Nope,Si
1297087,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O,Active,62,Bsite,Nope,Si
1297088,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,26.2,Bsite,Nope,Si
1297089,C[C@@H](C(N1[C@@H](B(O)O)CCC1)=O)NC([C@@H](CO)NC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,186,Bsite,Nope,Si
1297090,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)CO,Active,128,Bsite,Nope,Si
1297091,C[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O,Active,71.7,Bsite,Nope,Si
1297092,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O,Active,428,Bsite,Nope,Si
1297093,C[C@@H](C(N1[C@@H](B(O)O)CCC1)=O)NC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,73.1,Bsite,Nope,Si
1297094,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,6.9,Bsite,Nope,Si
1297095,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,277,Bsite,Nope,Si
1297096,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O,Active,12,Bsite,Nope,Si
1297099,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,3.5,Bsite,Nope,Si
1297109,CC(C)[C@@H](C(N[C@H](C)C(N1C(B(OC(CN(C)C2)=O)OC2=O)CCC1)=O)=O)NC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O,Active,280,Bsite,Nope,Si
1297110,CC(C)[C@@H](C(N[C@H](C)C(N(CC(C1)(F)F)[C@@H]1C#N)=O)=O)NC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O,Active,107,Bsite,Nope,Si
1297112,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O,Active,33,Bsite,Nope,Si
1297114,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,8.9,Bsite,Nope,Si
1297116,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CC[C@@H](C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,17,Bsite,Nope,Si
1297119,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CC[C@H](N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,310,Bsite,Nope,Si
1297125,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O,Active,11.5,Bsite,Nope,Si
1297126,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CC[C@@H](C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O,Active,11.5,Bsite,Nope,Si
1297128,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CC[C@H](N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,89,Bsite,Nope,Si
1297129,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O,Active,26.8,Bsite,Nope,Si
1297130,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,439,Bsite,Nope,Si
1297131,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O)=O,Active,21,Bsite,Nope,Si
1297132,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,258,Bsite,Nope,Si
1297133,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O)=O)=O,Active,14.8,Bsite,Nope,Si
1297134,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,180,Bsite,Nope,Si
1297135,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CNC(CNC(CNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O)=O)=O)=O,Active,21,Bsite,Nope,Si
1297136,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CNC(CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O)=O,Active,21,Bsite,Nope,Si
1297137,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CNC(CNC(CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O)=O)=O,Active,1.1,Bsite,Nope,Si
1297138,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CNC(CNC(CNC(CNC(CNC(CNC(CCC(C(O)=O)N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O)=O)=O)=O)=O)=O,Active,9.2,Bsite,Nope,Si
1297139,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(C)C,Active,218,Bsite,Nope,Si
1297140,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CCNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,121,Bsite,Nope,Si
1297141,CC(C)[C@H](C(N[C@@H](C)C(N1[C@@H](B(O)O)CCC1)=O)=O)NC(CCCCNC(CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)=O)=O,Active,5.2,Bsite,Nope,Si
1297142,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(C)C,Active,110,Bsite,Nope,Si
1297144,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CCCCCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(C)C,Active,219,Bsite,Nope,Si
